,business_id,ambiance_score,atmosphere_score,dessert_score,drinks_score,entertainment_score,experience_score,food_score,food_portion_score,kid_friendly_score,location_score,noise_level_score,price_score,seating_score,service_score,setting_score,space_score,waiting_time_score,Restaurants_good_for_groups_owner_provided,good_for_kids_owner_provided,restaurant_is_expensive_owner_provided,noise_level_owner_provided
126,9dYarThtZVX4PvmtnFIrxA,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Negative,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Negative,No mention
127,9dp3hVDlQ0VtjPW_7ISoXg,No mention,No mention,No mention,No mention,No mention,No mention,Negative,No mention,No mention,No mention,No mention,No mention,Negative,No mention,No mention,No mention,No mention,Positive,Positive,Negative,Positive
128,9fJziJ3o9-QXKuKolg7yEA,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Positive,Positive,Negative,Positive
129,9h0i4lVC5eCVhRTanWsEAg,No mention,Positive,No mention,Positive,No mention,No mention,Positive,No mention,No mention,Positive,No mention,Positive,No mention,Positive,No mention,Positive,Positive,Positive,Positive,Negative,Positive
130,9jEv_7tueRJdV5CZwVcwPg,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,Positive,No mention,Positive,Positive,Negative,Positive
131,9kfN12wVGnKo54AaRjz0vQ,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,No mention,Positive,No mention,No mention,No mention,Positive,No mention,Positive,No mention,Positive,Positive,Negative,Positive
132,9u79dIXLQzmt9rnOZEnBaQ,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,No mention,No mention,No mention,No mention,Positive,Positive,Negative,Positive
133,9uJuBPIQyrC0v9pVv3JKRQ,Positive,Positive,No mention,No mention,No mention,No mention,Negative,No mention,No mention,No mention,No mention,Negative,No mention,Negative,Neutral,No mention,No mention,Positive,Positive,Negative,Positive
134,9ugpNKKhnYRa51qXoxUw_A,No mention,Positive,No mention,Positive,Positive,No mention,Positive,No mention,No mention,Positive,No mention,Positive,No mention,Positive,Positive,Positive,No mention,Positive,Positive,Negative,Positive
135,9xW7LsJpyhVZFRb6z9xorg,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Positive,Negative,Negative,Positive
136,A-_GjL5P2ry5OD6WgjhDPA,No mention,Positive,No mention,No mention,Positive,No mention,Positive,No mention,No mention,No mention,No mention,Positive,No mention,Positive,No mention,Positive,No mention,No mention,Positive,Negative,No mention
137,A263bVzMdU_-TIMhewOrjQ,No mention,No mention,No mention,No mention,Positive,No mention,Positive,No mention,No mention,Positive,No mention,No mention,No mention,No mention,No mention,Positive,No mention,Positive,Positive,Negative,Positive
138,A2slwG21Uulatt357w58PA,No mention,No mention,No mention,Positive,No mention,No mention,Positive,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,No mention,No mention,Positive,Positive,Negative,No mention
139,AFZTm786brtTbEc5yYBgfA,No mention,Positive,No mention,No mention,No mention,No mention,Positive,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Negative,Negative,Negative,No mention
140,AGtZA_0tR0erViKGTCGtQg,No mention,No mention,No mention,No mention,Positive,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,No mention
141,AMi1h-goNueHf_Lvx4Cu4g,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Positive,Positive,No mention,No mention,No mention,No mention,Positive,Positive
142,AQw0B8j9QV1RkFLLFiwkuw,No mention,No mention,No mention,No mention,No mention,Neutral,Neutral,No mention,No mention,Negative,No mention,No mention,Negative,Positive,No mention,No mention,Negative,Positive,Positive,Negative,Positive
143,AV3XPH1iv8PKSO6mrnYgLg,No mention,Positive,No mention,No mention,Positive,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Positive,Positive,Positive,No mention,Negative,Positive
144,AXC__4yZrn-N3BT7-2bV_Q,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,Negative,Positive
145,Aes-0Q_guDeYewMapFs_vg,No mention,No mention,No mention,Negative,No mention,No mention,Neutral,Positive,No mention,Positive,No mention,No mention,No mention,No mention,No mention,Positive,No mention,Positive,Positive,Negative,Positive
146,AgVekFXqwt4Y1HxfQcpyiw,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,Positive,Positive,Negative,Positive,Negative,Positive
147,Ak4vFqHZUWU5KXONRnuieQ,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Positive,Positive,Negative,Positive
148,AmAc0eD6lyVyb7QdOAO1Mg,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Negative,No mention,Negative,No mention,Negative,No mention,Negative,No mention,Positive,Negative,Negative,Negative
149,B1yPXzIIJrLWyTcE4jsYuQ,Positive,Positive,No mention,No mention,No mention,Positive,Positive,No mention,No mention,No mention,No mention,No mention,Negative,No mention,Positive,No mention,No mention,Positive,Positive,Negative,Positive
150,B3dzK9OqrT_sN0FNQs_OgQ,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Negative,Negative,Negative,Positive
151,B3itz3WAJAAzZCFx48NYTw,No mention,Positive,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Negative,No mention,Positive,No mention,No mention,No mention,No mention,No mention,Negative,No mention
152,B3kpvT4oLJdQmU9lPnxdKA,No mention,Positive,No mention,No mention,No mention,No mention,Positive,No mention,No mention,Positive,No mention,No mention,No mention,Positive,No mention,No mention,No mention,Positive,Positive,Negative,Positive
153,B91yBSPvAz5O_t9JFafN1Q,No mention,Positive,No mention,Positive,No mention,No mention,Neutral,No mention,No mention,No mention,No mention,Positive,No mention,No mention,No mention,No mention,No mention,Positive,No mention,Negative,Negative
154,BErYojCJSO959vzaz9JclQ,No mention,Positive,Positive,No mention,No mention,No mention,Positive,Positive,No mention,Negative,No mention,Negative,No mention,Negative,No mention,Positive,No mention,Positive,Positive,Negative,Positive
155,BQv7ntaOxs80FJAji2U9pg,No mention,Negative,Positive,No mention,No mention,Negative,Neutral,No mention,No mention,Negative,No mention,No mention,No mention,Negative,No mention,Negative,Negative,Positive,Positive,Negative,Positive
156,BVzFvRrgMpL62oPIqGvLMg,No mention,Positive,No mention,No mention,No mention,No mention,Positive,No mention,No mention,No mention,No mention,No mention,Positive,Positive,Positive,No mention,No mention,Positive,Positive,Negative,Positive
157,B_q2xoAgTyn6U4YNEc3kSw,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Positive,Positive,Negative,Positive
158,BaWVwChTW_MqkKru_WZp3g,No mention,No mention,No mention,No mention,No mention,No mention,Negative,No mention,No mention,No mention,No mention,Neutral,No mention,Negative,No mention,Positive,No mention,Positive,Positive,Negative,Positive
159,Bm-NlFiZWMCwmmz9B_rlCA,No mention,Positive,Positive,Positive,Positive,Positive,Neutral,No mention,No mention,No mention,No mention,Positive,No mention,Positive,No mention,No mention,No mention,Positive,No mention,Negative,Positive
160,Btm9ODncqCqYsnpawaHioA,No mention,Positive,No mention,No mention,Positive,No mention,Positive,No mention,No mention,No mention,No mention,No mention,No mention,Neutral,No mention,No mention,No mention,Positive,No mention,Negative,No mention
161,BwUWmUFKCuJ-nN9vFwMt2Q,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Positive,Negative,No mention,No mention,No mention,Positive,Positive,Negative,Positive
162,C-zgOpqD2K0xDJU4ty7zKg,Positive,Positive,No mention,No mention,No mention,No mention,Positive,No mention,No mention,No mention,No mention,Positive,No mention,No mention,No mention,No mention,No mention,Negative,Negative,Negative,Positive
163,CHh0ZFrQcsk4boOItr2Zuw,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Negative,No mention,Negative,No mention,No mention,No mention,No mention,No mention,Negative,No mention
164,COSC9JC0Vjr89CaTZuPkUA,Positive,Positive,No mention,No mention,No mention,No mention,Positive,Positive,No mention,No mention,No mention,Positive,No mention,No mention,No mention,Positive,No mention,Positive,Positive,Negative,Positive
165,CTmAWi-W8_Id00EjHF5Uwg,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Positive,Positive,Negative,Positive
166,CUWituEeIX3xA0xU7X82Ow,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,Positive,No mention,Positive,Positive,Negative,Positive
167,CWdCNIJU4Kh480NV9dgQjw,Positive,Positive,No mention,No mention,Positive,No mention,Positive,No mention,Positive,Positive,No mention,No mention,No mention,No mention,Positive,Positive,No mention,No mention,Positive,Negative,Positive
168,CYwC5OjwCN6ib_AQDxi3Ow,No mention,Positive,No mention,No mention,No mention,No mention,Positive,No mention,No mention,Positive,No mention,Positive,No mention,Positive,No mention,Positive,No mention,Positive,Positive,Negative,Positive
169,CkENBnSJFfPA1hY0qrqfCg,No mention,Neutral,No mention,No mention,No mention,No mention,Positive,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,No mention,Negative,Positive,Positive,Negative,Positive
170,CoZ2mpsMBP8HUG1ymKoZTg,No mention,Positive,Negative,Positive,No mention,No mention,Positive,No mention,No mention,No mention,No mention,Positive,No mention,Positive,No mention,No mention,Positive,Positive,Positive,Negative,Positive
171,CwL56LgcMz7Bvi4xODHVSw,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,No mention,Positive,No mention,Positive,No mention,No mention,No mention,Positive,No mention,Positive,Positive,Negative,Positive
172,CziOtnFSklimJnBgksDDwA,No mention,Negative,No mention,Positive,No mention,No mention,Positive,Positive,No mention,Positive,No mention,No mention,No mention,Positive,No mention,Positive,Negative,Positive,Positive,Negative,Positive
173,DBtNuEt5U_dXoalpU8rbcQ,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Positive,Positive,Negative,Positive
174,DEmAmcR4xNilT5WY5ImEFA,No mention,Positive,No mention,Positive,No mention,No mention,Positive,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Positive,Positive,Negative,Positive
175,DLTwr11KNMA1hEN7OrkY2A,Positive,Positive,No mention,No mention,No mention,Positive,Positive,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,Positive,Positive,Negative,Positive
176,DOfiulOub9hVPBCtiDl9Fw,Positive,Positive,No mention,No mention,Positive,No mention,Positive,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,Positive,No mention,Positive,Positive,Negative,Positive
177,DQgX6IbCPg3SKdFAgWK1uw,Positive,Positive,No mention,No mention,No mention,Positive,Positive,No mention,No mention,No mention,No mention,No mention,No mention,Neutral,No mention,Positive,Negative,Positive,Positive,Negative,Positive
178,DZdGvf67WEG8ZDRM2fLt1w,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,No mention,Negative,Negative,No mention
179,D_WS8rM-DVygaCKbIErZ6Q,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,No mention,No mention,Positive,Positive,Negative,Positive
180,DdD7j67fu8kM6DkvY4JCIA,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,Positive,Positive,Negative,Positive
181,DqVpNtgFCP47n6frh-LREA,Negative,Positive,Positive,No mention,No mention,No mention,Neutral,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,No mention,Positive,Positive,Negative,Positive
182,Dr2tI5lPLiXQrE0iZRim9A,No mention,Positive,No mention,Positive,No mention,No mention,No mention,No mention,No mention,Positive,No mention,Positive,No mention,Positive,No mention,Positive,No mention,No mention,No mention,Negative,No mention
183,DzpaiMQnB_sNhZPrgdvKHg,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,No mention,No mention,Positive,Positive,Negative,Positive
184,E1R-xslwl7XeTN5lQ7mWPg,No mention,Positive,No mention,No mention,No mention,No mention,Positive,No mention,No mention,No mention,No mention,Positive,No mention,Positive,No mention,Positive,Positive,Negative,Positive,Negative,Positive
185,E3WUDYEvCVMplIFMgeN1xw,Positive,Positive,No mention,No mention,No mention,No mention,Positive,No mention,No mention,Positive,No mention,Neutral,No mention,Positive,Positive,Negative,Positive,Positive,Positive,Negative,Positive
186,E6HHiJMCpTkjOsSly3kzeA,No mention,Positive,No mention,Positive,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Negative,Positive,Negative,Negative,Negative
187,E7RtIisUoRMcADSebBgNAA,No mention,Positive,No mention,Positive,Positive,Positive,Positive,Neutral,No mention,Positive,No mention,Negative,No mention,Positive,No mention,Positive,No mention,Positive,Positive,Negative,Positive
188,EBuSqlpzzyfZZkEgPxVV1Q,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention
189,EILVLAwEPdGAV_ZC0edtgA,No mention,No mention,No mention,No mention,No mention,Negative,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Negative,No mention,No mention,No mention,Positive,Positive,Negative,No mention
190,EPkF-beh6gg_s3HtlAdfiw,No mention,No mention,No mention,No mention,No mention,Positive,Positive,No mention,No mention,Positive,No mention,Positive,No mention,Positive,No mention,Positive,No mention,Positive,Positive,Negative,Positive
191,ERuy9x26QrzqVwP1oFSObQ,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,No mention,No mention,Positive,Positive,Negative,Positive
192,ERzIS-WRLw-80_B4yqcG3Q,No mention,Positive,No mention,No mention,No mention,No mention,Positive,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,No mention,No mention,Positive,Positive,Negative,Positive
193,EUzWWnvcx1pkkWxk2XV6QA,No mention,Positive,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,No mention,No mention,Positive,Positive,Negative,Negative
194,EZc2myE2mYk2h9JK9qu8gw,Positive,Positive,No mention,Positive,Positive,No mention,Positive,No mention,No mention,Positive,No mention,No mention,No mention,Positive,Positive,Positive,Positive,Positive,Positive,Negative,Negative
195,E_ac8Q20OJD9L8cafCBKaQ,Positive,Positive,No mention,No mention,Positive,No mention,Positive,Positive,No mention,Positive,No mention,Positive,No mention,No mention,Positive,Positive,No mention,Positive,Negative,Negative,Positive
196,EoLzj1yciIjEZS9ZEJe_kQ,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,Negative,Negative
197,Eqi8jrVowPBlCKAInDfFRw,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,No mention,Positive,No mention,No mention,No mention,No mention,No mention,Positive,No mention,Positive,Positive,Negative,Positive
198,EtM079Cj7-B3G7jPsGYb_Q,Positive,Positive,No mention,Positive,Positive,Neutral,Positive,Positive,No mention,Neutral,No mention,No mention,Negative,Neutral,Positive,Positive,Positive,Positive,Negative,Negative,Negative
199,EtbukcoR6QW6_5fEeFcVoQ,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,No mention,No mention,No mention,Positive,Negative,No mention
200,Ey0t4U6yqtxCeMaGPf7GcA,No mention,Positive,No mention,No mention,No mention,Positive,Positive,No mention,No mention,Positive,No mention,No mention,No mention,Positive,Positive,Positive,No mention,Positive,Positive,Negative,Positive
201,F3dxQiOwN55rSLw-BNSq6A,No mention,No mention,No mention,No mention,No mention,Negative,Positive,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Negative,No mention
202,F6KHs4GDw_9tpuv65M6PGA,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Positive,Positive,Negative,Positive
203,FAc2Mv92KL00cbLdpAc0kQ,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Negative,No mention,No mention,No mention,No mention,No mention,No mention,Negative,Positive,Positive,Negative,Negative
204,FBqYnP7H3TMHYQvafuBTSA,No mention,Positive,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,No mention,Positive,Positive,Negative,Positive
205,FE5R_F7svUphKeUWuxA0JA,No mention,Negative,No mention,No mention,No mention,Negative,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Negative,Negative,Positive,Positive,Negative,Positive
206,FEBwxZMEpxRwVXx9Fm0XZw,No mention,Positive,No mention,No mention,No mention,No mention,Positive,Positive,No mention,Positive,No mention,Negative,No mention,Positive,Positive,Positive,No mention,Positive,Positive,Negative,Positive
207,FH0MVF7kK0D76Hh4e7hXfQ,No mention,Positive,No mention,Positive,No mention,No mention,Positive,Negative,No mention,No mention,No mention,Negative,No mention,Negative,No mention,Positive,Negative,Positive,Positive,Negative,Positive
208,FH1sTH13rupNdANai7JFxA,No mention,No mention,No mention,Positive,No mention,No mention,Positive,No mention,No mention,Positive,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Positive,Negative,Negative,Positive
209,FQxEfhBd1gMrurP19bhK8w,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,No mention,Positive,No mention,No mention,No mention,No mention,No mention,Positive,No mention,No mention,No mention,Negative,No mention
210,FSWJmMXXKAXdL6mrc-DzBQ,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,Negative,Positive
211,FTFaEinJgzqY0ZHQMUSpQQ,Negative,Positive,No mention,Positive,No mention,No mention,Positive,No mention,No mention,No mention,No mention,No mention,Positive,Positive,No mention,No mention,Negative,Positive,Positive,Negative,Positive
212,FdoqtMadj4ybDAL7S-yUBQ,No mention,Positive,Positive,No mention,No mention,No mention,Positive,No mention,No mention,Positive,No mention,Positive,Positive,Positive,No mention,Positive,Positive,Positive,Positive,Negative,Positive
213,FpNhzu3w0XgyedhOLDuK8g,No mention,Positive,No mention,No mention,No mention,No mention,Positive,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,No mention,No mention,Positive,Positive,Negative,Positive
214,G0rJD85hUDQ0Omz0rOFeOQ,No mention,No mention,No mention,No mention,No mention,No mention,Positive,Negative,No mention,No mention,No mention,Negative,No mention,No mention,No mention,No mention,No mention,Positive,Positive,Negative,Positive
215,G9rBwcWp56C8r6ZFwVuimA,Positive,Positive,No mention,No mention,No mention,No mention,Positive,No mention,No mention,No mention,No mention,No mention,No mention,Positive,Positive,Positive,Positive,Positive,Negative,Positive,Positive
216,GAklIF-ucUsXPBZYZxeOpg,No mention,No mention,No mention,No mention,No mention,Positive,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,No mention,No mention,Negative,No mention
217,GaAZLzmviiJO93kT2-EnaA,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,Neutral,No mention,No mention,Negative,No mention,No mention,Negative,No mention
218,Gg2ZHe57Ztuv8JaFj0mNhw,No mention,Positive,No mention,No mention,No mention,No mention,Positive,No mention,No mention,Positive,No mention,No mention,No mention,Positive,Positive,Positive,No mention,Positive,Positive,Negative,Positive
219,Gof3vW62_EDmqgAPTL-nKQ,No mention,No mention,No mention,No mention,No mention,Negative,Negative,No mention,No mention,No mention,No mention,No mention,No mention,Negative,No mention,Negative,Negative,Positive,Positive,Negative,Positive
220,GpESl2dXOH8rxs0pAbIyAw,No mention,No mention,No mention,No mention,Positive,No mention,Neutral,No mention,No mention,Negative,No mention,Negative,No mention,Positive,No mention,Negative,No mention,Positive,Positive,Negative,Positive
221,GtrY5U_M1ac3bYCk0DUeIg,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,Positive,Negative,Positive,Positive,Negative,Positive
222,GuzbBFraIq-fbkjfvaTRvg,No mention,Positive,Positive,No mention,No mention,Positive,Positive,No mention,No mention,Positive,No mention,No mention,No mention,Positive,Positive,Positive,Positive,Positive,Positive,Negative,Positive
223,GwtVBqKzW9j0zNQ7nYnT5g,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Negative,No mention,Negative,No mention,No mention,No mention,No mention,No mention,Negative,No mention
224,GyWxMEMzRZJ-mb6OAq7jyA,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Negative,No mention,No mention,No mention,No mention,No mention,Positive,Positive,Negative,Positive
225,H4Zf42Q3I8JyQ-V5l4dJrg,Positive,Positive,No mention,Positive,No mention,No mention,Positive,No mention,No mention,Positive,No mention,Positive,No mention,Positive,No mention,Positive,No mention,Positive,Negative,Negative,Positive
226,HE-9l_2RSingLV2RZItdsA,No mention,Positive,No mention,No mention,No mention,No mention,Positive,No mention,No mention,No mention,No mention,Positive,No mention,Positive,No mention,Positive,No mention,Positive,Positive,Negative,Positive
227,HJ_rOClY2RPrdervYopKmQ,No mention,No mention,No mention,No mention,Negative,Negative,Negative,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Negative,Negative,Negative,Negative,Positive
228,HMkjv277ZaW_2tZelEn6LQ,No mention,No mention,Positive,No mention,Positive,No mention,No mention,No mention,No mention,Positive,No mention,No mention,No mention,Positive,Positive,Positive,No mention,No mention,No mention,No mention,No mention
229,HOXbILWYZJkNUYYzYK_tZA,No mention,No mention,No mention,Positive,No mention,Positive,Positive,No mention,No mention,No mention,No mention,No mention,No mention,Negative,No mention,No mention,No mention,Positive,Positive,Negative,Positive
230,HQ-C47_Xi5it1KzwEc0u0A,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Positive,Positive,Negative,Positive
231,Hj44PIrCtv61ETVclzLMwg,Positive,Positive,No mention,No mention,No mention,No mention,Positive,No mention,No mention,Positive,No mention,No mention,No mention,No mention,Positive,Positive,No mention,Positive,Positive,Negative,Positive
232,Hlx8S2GLF7hMuIKx4sU-gg,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Negative,No mention,No mention,Negative,Positive,Positive,Negative,Positive
233,Hpjxc1XqCAeH29duBxdIQQ,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention
234,HrnSaz2f1WUEoAQQ6iD6gw,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Negative,No mention,Positive,No mention,Neutral,No mention,Positive,No mention,Positive,No mention,Positive,Positive,Negative,Positive
235,HtWJVjBrlFFQ_9q0B-5RQQ,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Negative,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Negative,No mention
236,I0jFTYVDs-WHwKR2XHQlRA,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Positive,Positive,Negative,Positive
237,I3yiknZLxXVIjYp4WmLz2w,No mention,Negative,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Positive,Positive,Negative,Positive
238,IDtLPgUrqorrpqSLdfMhZQ,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,Positive,No mention,No mention,No mention,Positive,Positive,Negative,Positive
239,IDyJPdJ-zTXJ_FSSOMOgbg,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,No mention,No mention,No mention,Positive,No mention,No mention,No mention,No mention,No mention,Negative,Positive,Negative,Positive
240,IG-CwPl5mb6-hmpFjXUIvA,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention
241,IRyKDIF51M0GcqS8yfPcYA,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,No mention,No mention,No mention,Positive,No mention,Positive,No mention,No mention,No mention,Positive,Positive,Negative,Positive
242,IVn7l2W9yhf7EPPaXl5Gxw,No mention,No mention,No mention,Positive,No mention,Positive,Positive,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention
243,IZZ7J14VnJGyUqYH1tgT6w,No mention,Positive,No mention,No mention,No mention,Positive,Positive,No mention,No mention,No mention,No mention,No mention,Positive,Positive,No mention,Positive,Negative,Positive,Negative,Negative,Positive
244,Ifw5wqcChnL4zBigtR7NKA,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Negative,No mention,Negative,No mention,Positive,No mention,No mention,No mention,Positive,Positive,Negative,Positive
245,IoAubn7CpU2rqcURxUo1MA,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,No mention,Positive,No mention,No mention,Positive,Positive,No mention,Positive,No mention,Positive,Positive,Negative,Positive
246,IoihJkcF2FcE-sHOneat-A,No mention,No mention,No mention,No mention,No mention,Negative,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Positive,Negative,Negative,Positive
247,Iw3lHwjwIjvfsgVOwpF_UQ,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Positive,Positive,No mention
248,JSrab1rTrhBq0X80o6fPrQ,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,No mention,Positive,No mention,No mention,No mention,Positive,No mention,Positive,No mention,Positive,Positive,Negative,Positive
249,Ji3XN5gL1aBlbhtFEGpMFA,No mention,Negative,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Negative,No mention,Negative,No mention,No mention,Negative,Negative,No mention,Positive,Positive,Negative,Positive
250,JjmmSW_QQh2Db4fuIEMATA,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,No mention,Positive,No mention,Positive,No mention,Positive,No mention,Positive,No mention,Positive,Positive,Negative,Positive
251,Js3m_GdqNUGnEgXJ8WMtfQ,No mention,No mention,No mention,No mention,No mention,No mention,Negative,No mention,No mention,No mention,No mention,Negative,No mention,No mention,No mention,No mention,No mention,Negative,Positive,Negative,Positive
252,KC8_Rx4Orlsz8LIonCYXsA,No mention,No mention,No mention,No mention,Positive,No mention,Positive,No mention,No mention,Positive,No mention,No mention,No mention,No mention,No mention,Positive,Negative,Positive,Negative,Negative,Negative
